DATE,GOLDAMGBD228NLBM,GOLDPMGBD228NLBM,GVZCLS,VXGDXCLS,BAMLH0A0HYM2,SP500
2011-09-12,1843.000,1834.000,37.20,45.47,7.64,1162.27
2011-09-13,1806.000,1820.000,32.49,41.18,7.62,1172.87
2011-09-14,1829.000,1818.500,29.83,41.37,7.55,1188.68
2011-09-15,1806.000,1782.000,29.46,40.80,7.49,1209.11
2011-09-16,1778.000,1794.000,28.86,36.91,7.46,1216.01
2011-09-19,1817.000,1794.000,30.70,36.45,7.61,1204.09
2011-09-20,1792.000,1799.000,30.63,37.99,7.59,1202.09
2011-09-21,1810.250,1793.000,29.68,40.18,7.61,1166.76
2011-09-22,1765.500,1722.000,32.19,47.98,7.95,1129.56
2011-09-23,1730.000,1689.000,39.17,53.94,8.01,1136.43
2011-09-26,1615.000,1598.000,39.86,51.77,8.00,1162.95
2011-09-27,1671.000,1659.000,36.55,48.93,7.92,1175.38
2011-09-28,1655.000,1643.000,39.95,53.52,8.03,1151.06
2011-09-29,1620.000,1613.000,37.08,53.64,8.16,1160.40
2011-09-30,1629.000,1620.000,37.03,53.38,8.41,1131.42
2011-10-03,1660.000,1655.500,36.92,55.83,8.72,1099.23
2011-10-04,1672.000,1638.000,37.74,56.50,9.10,1123.95
2011-10-05,1600.000,1617.000,36.94,52.61,8.98,1144.03
2011-10-06,1649.500,1635.000,35.22,51.32,8.72,1164.97
2011-10-07,1651.000,1652.000,33.16,50.74,8.55,1155.46
2011-10-10,1664.000,1661.000,31.26,48.72,8.56,1194.89
2011-10-11,1662.000,1663.000,30.62,47.38,8.34,1195.54
2011-10-12,1687.000,1682.000,29.51,44.35,8.07,1207.25
2011-10-13,1673.000,1656.000,28.48,43.15,8.05,1203.66
2011-10-14,1676.000,1678.000,26.61,41.82,7.89,1224.58
2011-10-17,1689.000,1682.000,28.93,43.95,7.88,1200.86
2011-10-18,1658.000,1631.000,29.17,42.91,7.87,1225.38
2011-10-19,1651.000,1652.500,31.13,47.28,7.70,1209.88
2011-10-20,1629.000,1620.000,32.08,48.51,7.64,1215.39
2011-10-21,1623.000,1642.500,28.89,45.83,7.46,1238.25
2011-10-24,1651.000,1652.000,26.98,43.30,7.31,1254.19
2011-10-25,1656.250,1656.000,29.92,45.06,7.29,1229.05
